country,year,party_id,party,partyfacts_id,lrecon,lrecon_dissent,lrecon_salience,galtan,galtan_dissent,galtan_salience,lrgen,lrecon_blur,galtan_blur,immigrate,immigrate_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,indigenous,public_health,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,lrecon_sd,galtan_sd,lrgen_sd
CA,2023,7001,CPC,1004,7.1363635,3.4761906,8.022727,6.4186049,6.3095236,6.395349,7.1363635,2.9523809,5.8095236,5.0476189,4.7906976,4.8717947,5.7142859,4.875,4.5428572,7,5.4634147,7.5454545,3.372093,7.7272725,7.1500001,7.2380953,7,5.7906976,5.7894735,5.2631578,6.875,7.2142859,3.6829269,3.2926829,5.3023257,7.4186049,5.2790699,7.068182,4.7567568,6.4499998,1.0021119,1.4997231,0.76526052
CA,2023,7002,LPC,1739,4.2272725,4.6904764,5.9772725,2.6744187,3.3333333,6.2790699,4.0227275,4.2380953,2.9523809,1.7727273,6.5454545,2.609756,1.4285715,6.3658538,2.5135136,3.2727273,6.3095236,4.590909,6.1860466,3.840909,4.375,3.7142856,3.7857144,1.5813954,3.4358974,2.675,2.7804878,2.8809524,3.5609756,6.9761906,2.6363637,2.7906976,2.860465,1.7045455,2.2972972,7.9499998,0.8856383,1.1896564,0.87573588
CA,2023,7003,NDP,152,2.6818182,2.8095238,5.75,2.0697675,2.1904762,6.1860466,2.6136363,2.5476191,1.8809524,1.7142857,5.2682929,2.4000001,1.3809524,5.5609756,2.1944444,1.8636364,8.069767,2.9318182,7.0930233,1.9545455,2.1500001,2,2.6428571,1.1395348,2.6500001,2.05,2,3.1707318,6.1707315,7.3414636,1.7272727,2.3023255,3.7209303,4.5454545,3.9473684,5.3499999,0.95898998,1.2982653,0.75377834
CA,2023,7004,BQ,1428,3.7692308,3.8461537,3.1944444,3.7179487,3.375,4,4,4.9428573,4.0571427,6.3684211,6.4210525,2.8181818,7.7368422,7.1052632,2.3225806,3.1351352,5.1176472,3.9166667,5.5277777,3.5135136,3.2571428,3.1388888,3.6363637,2.1315789,1.2564102,6,8.1282053,4.9375,5.5588236,0.26190478,4.2285714,3.28125,5.1764708,4.3142858,3.7666667,6.7407408,0.95865965,1.5885895,1.0488088
CA,2023,7005,GPC,931,3.054054,5.3703704,3.4444444,2.2121212,3.3548386,4.0967741,2.8571429,4.257143,2.84375,2.5999999,3,3.6315789,1.625,3.2272727,3.5,2.7741935,4.96875,1.5348837,9.5348835,2.4193549,2.3,1.9705882,2.48,1.3939394,2.6363637,2.8399999,2.0967741,2.4375,5.6111112,7.0357141,1.8235294,3.125,4,4.09375,2.9200001,4.5625,1.352897,1.3171365,1.2400868
CA,2023,7006,PPC,8636,8.4761906,2.1153846,4.7368422,6.0263157,2.0357144,8.1081085,8.8139534,2.3235295,3,8.666667,8.4473686,1.5588236,9.1388893,8.0571432,1.3548387,8.25,5.2647057,8.6842108,2.4594595,9.1538458,8.8888893,9.0256414,6.5135136,6.891892,5.7826085,8.363636,8.75,8.3999996,3.1379311,2,7.8125,9.7317076,8.75,9.6046515,6.59375,6.5862069,1.3110802,3.3890669,0.69883627
CA,2023,7011,AB_UCP,,8.25,3,9,5.5,4.5,5,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2583058,2.6457512,0.5
CA,2023,7012,AB_NDP,,4.25,4,7.25,3,2.25,4.5,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.9439204,0.5
CA,2023,7013,AB_WIP,,9,1.5,3.5,5.6666665,2,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7320508,4.0414519,1.4142135
CA,2023,7014,AB_Alberta,,5,5.5,5,2.5,4.5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.5355339,0
CA,2023,7015,AB_LIB,,5,5.5,5,3.5,4.5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.1213202,0
CA,2023,7021,BC_NDP,,3,4,7,1.6666666,2,7,3.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1547005,0.57735026
