country,eastwest,eumember,year,expert,party_id,cmp_id,party,vote,seat,electionyear,epvote,family,govt,eu_position,eu_salience,eu_dissent,eu_blur,eu_benefit,eu_ep,eu_fiscal,eu_intmark,eu_employ,eu_budgets,eu_agri,eu_cohesion,eu_environ,eu_asylum,eu_foreign,eu_turkey,lrgen,lrecon,lrecon_salience,lrecon_dissent,lrecon_blur,galtan,galtan_salience,galtan_dissent,galtan_blur,spendvtax,spendvtax_salience,deregulation,dereg_salience,redistribution,redist_salience,econ_interven,civlib_laworder,civlib_salience,sociallifestyle,social_salience,religious_principles,relig_salience,immigrate_policy,immigrate_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,urban_rural,urban_salience,environment,enviro_salience,cosmo,cosmo_salience,protectionism,regions,region_salience,international_security,international_salience,us,us_salience,ethnic_minorities,ethnic_salience,nationalism,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,mip_one,mip_two,mip_three,chesversion
BE,1,1,1999,9,115,,FN,1.5,0.69999999,1999,1.519999980926510,Nationalist,0,2.142857074737550,1.5625,2.0833335,,,4,2.799999952316280,,2.5,,,1.666666626930240,3.599999904632570,1.25,2,,9.888889312744140,8.75,,,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
BE,1,1,1999,9,112,21914,VB,9.9,10,1999,9.390000343322750,Nationalist,0,2.222222328186040,1.9444444,1.111111,,,4.125,2.857142925262450,,2.5,,,1.600000023841860,3.428571462631230,1.625,3.125,,9.888889312744140,8.75,,,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
BE,1,1,2002,11,112,21914,VB,9.9,10,1999,9.390000343322750,Nationalist,0,2.73,2.4333334,1.8222224,,,3.33,,2.88,2.6,,2.33,2.33,2.67,3.6,2.75,,9.550000000000000,7.9,,,,9.370000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
BE,1,1,2006,10,112,21917,VB,11.6,12,2003,14.30000019073490,Nationalist,0,2.5,3.6666663,1.67,,,4.33,,4.33,,,,4.29,,,3.88,1,9.67,7.13,,,,9.5,,,,6.75,3.5,5.670000076293950,3.130000114440920,6.139999866485600,2.630000114440920,,9.880000114440920,9.630000114440920,9.670000076293950,7.630000114440920,6.880000114440920,6,9.880000114440920,9.880000114440920,,10,,,4.400000095367430,1.600000023841860,,,9.8800001,9.75,,3.25,8.75,,,6,4.29,10,10,,,,,,,,,,,2020.1
BE,1,1,2010,16,112,21917,VB,7.76,8,2010,9.850000381469730,Nationalist,0,2.599999904632570,4.2222223,2.6666667,,2.4666667,4.25,,4.166666507720950,,,,3.125,,,4.07692289352417,1,9.857142448425290,7.933333396911620,,,,9.600000381469730,,,,8,4.583333492279050,7.428571224212650,3.285714387893680,6.111111164093020,4.25,,9.181818008422850,9.363636016845700,9,6.363636493682860,4.599999904632570,4,10,9.75,,9.909091,9.636364,,5.75,1.875,7.6666665,2.8333333,,,,1.6666666,9.833333,5.5,2.5999999,,,9.100000381469730,8.800000190734860,,,,,,,,,,,2020.1
BE,1,1,2010,16,115,,FN,0.51,0,2010,1.330000042915340,Nationalist,0,2.615384578704830,2.8205128,3.1428571,,2.6428571,4.833333492279050,,6.454545497894290,,,,4,,,4.5,1.538461565971380,9.214285850524900,8.454545021057130,,,,9.666666984558110,,,,8.666666984558110,3,7.25,2,6.599999904632570,3.400000095367430,,9.777777671813970,9.666666984558110,8.888889312744140,7,4.285714149475100,3.714285612106320,10,10,,9.8000002,9.6000004,,4.5,0.8333333134651180,7.1666665,3.4285715,,,,7.4000001,2.5,5,2.8571429,,,10,10,,,,,,,,,,,2020.1
BE,1,1,2014,6,112,21917,VB,3.7,2,2014,4.3,Nationalist,0,2.599999904632570,4.5999999,1.5,,2.5999999,5.199999809265140,,3,,2.5999999,,4.75,,,4.199999809265140,1,9.199999809265140,5.5,5,,,9,6,,,5.199999809265140,,5.400000095367430,,5,,5.25,8.600000381469730,,7.199999809265140,,5.599999904632570,,9.600000381469730,,,9.6000004,,,4,,7.1999998,,,,,1.4,,4.8000002,,,,9.600000381469730,,10,,,,9,5.75,,9,39,1,2020.1
BE,1,1,2019,12,112,21917,VB,11.95,12.2,2019,12.05,Nationalist,0,2.25,4.7272725,2.75,3,,,,2.5,,2.25,,3,,1.777777791023250,2.111111164093020,,9.583333015441900,5,4,3.5999999,4.8571429,8,6.9166665,2,2.4444444,5.636363506317140,,5,,4.416666507720950,4.25,4.875,9.416666984558110,,8.363636016845700,,6.166666507720950,,9.833333015441900,9.833333015441900,0.41666666,9.583333,9.727273,1.6363636,5.166666507720950,,8.333333,2.2,,,7.6666665,2.090909,,,,,,8.545454978942870,,9,0.11111111,8.7777777,8.090909,8.909091,4.181818,9.1999998,,,,2020.1
DK,1,1,1999,7,212,13951,FP,2.4,2.2,1998,0.699999988079071,Nationalist,0,1.428571462631230,6.0714288,0.35714298,,,1.857142806053160,1.285714268684390,,1.714285731315610,,,2,1.714285731315610,1.333333373069760,1.285714268684390,,9.285714149475100,8.857142448425290,,,,7.599999904632570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
DK,1,1,1999,7,215,13720,DF,7.4,7.3000002,1998,5.800000190734860,Nationalist,0,1.428571462631230,6.4285712,0,,,1.571428537368770,1.142857193946840,,1.666666626930240,,,1.428571462631230,1.571428537368770,1.333333373069760,1.285714268684390,,8.857142448425290,7.285714149475100,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
