,country,eastwest,eumember,year,expert,party_id,family,cmp_id,party,vote,seat,electionyear,epvote,govt,eu_position,eu_salience,eu_dissent,eu_blur,eu_benefit,eu_ep,eu_fiscal,eu_intmark,eu_employ,eu_budgets,eu_agri,eu_cohesion,eu_environ,eu_asylum,eu_foreign,eu_turkey,lrgen,lrecon,lrecon_salience,lrecon_dissent,lrecon_blur,galtan,galtan_salience,galtan_dissent,galtan_blur,spendvtax,spendvtax_salience,deregulation,dereg_salience,redistribution,redist_salience,econ_interven,civlib_laworder,civlib_salience,sociallifestyle,social_salience,religious_principles,relig_salience,immigrate_policy,immigrate_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,urban_rural,urban_salience,environment,enviro_salience,cosmo,cosmo_salience,protectionism,regions,region_salience,international_security,international_salience,us,us_salience,ethnic_minorities,ethnic_salience,nationalism,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,mip_one,mip_two,mip_three,chesversion
0,BE,1,1,1999,9,115,Nationalist,,FN,1.5,0.69999999,1999,1.51999998092651,0.0,2.14285707473755,1.5625,2.0833335,,,4.0,2.79999995231628,,2.5,,,1.66666662693024,3.59999990463257,1.25,2.0,,9.88888931274414,8.75,,,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
1,BE,1,1,1999,9,112,Nationalist,21914.0,VB,9.9,10.0,1999,9.39000034332275,0.0,2.22222232818604,1.9444444,1.111111,,,4.125,2.85714292526245,,2.5,,,1.60000002384186,3.42857146263123,1.625,3.125,,9.88888931274414,8.75,,,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
2,BE,1,1,2002,11,112,Nationalist,21914.0,VB,9.9,10.0,1999,9.39000034332275,0.0,2.73,2.4333334,1.8222224,,,3.33,,2.88,2.6,,2.33,2.33,2.67,3.6,2.75,,9.55,7.9,,,,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
3,BE,1,1,2006,10,112,Nationalist,21917.0,VB,11.6,12.0,2003,14.3000001907349,0.0,2.5,3.6666663,1.67,,,4.33,,4.33,,,,4.29,,,3.88,1.0,9.67,7.13,,,,9.5,,,,6.75,3.5,5.67000007629395,3.13000011444092,6.1399998664856,2.63000011444092,,9.88000011444092,9.63000011444092,9.67000007629395,7.63000011444092,6.88000011444092,6.0,9.88000011444092,9.88000011444092,,10.0,,,4.40000009536743,1.60000002384186,,,9.8800001,9.75,,3.25,8.75,,,6.0,4.29,10.0,10.0,,,,,,,,,,,2020.1
4,BE,1,1,2010,16,112,Nationalist,21917.0,VB,7.76,8.0,2010,9.85000038146973,0.0,2.59999990463257,4.2222223,2.6666667,,2.4666667,4.25,,4.16666650772095,,,,3.125,,,4.07692289352417,1.0,9.85714244842529,7.93333339691162,,,,9.60000038146973,,,,8.0,4.58333349227905,7.42857122421265,3.28571438789368,6.11111116409302,4.25,,9.18181800842285,9.3636360168457,9.0,6.36363649368286,4.59999990463257,4.0,10.0,9.75,,9.909091,9.636364,,5.75,1.875,7.6666665,2.8333333,,,,1.6666666,9.833333,5.5,2.5999999,,,9.10000038146973,8.80000019073486,,,,,,,,,,,2020.1
5,BE,1,1,2010,16,115,Nationalist,,FN,0.51,0.0,2010,1.33000004291534,0.0,2.61538457870483,2.8205128,3.1428571,,2.6428571,4.83333349227905,,6.45454549789429,,,,4.0,,,4.5,1.53846156597138,9.2142858505249,8.45454502105713,,,,9.66666698455811,,,,8.66666698455811,3.0,7.25,2.0,6.59999990463257,3.40000009536743,,9.77777767181397,9.66666698455811,8.88888931274414,7.0,4.2857141494751,3.71428561210632,10.0,10.0,,9.8000002,9.6000004,,4.5,0.833333313465118,7.1666665,3.4285715,,,,7.4000001,2.5,5.0,2.8571429,,,10.0,10.0,,,,,,,,,,,2020.1
6,BE,1,1,2014,6,112,Nationalist,21917.0,VB,3.7,2.0,2014,4.3,0.0,2.59999990463257,4.5999999,1.5,,2.5999999,5.19999980926514,,3.0,,2.5999999,,4.75,,,4.19999980926514,1.0,9.19999980926514,5.5,5.0,,,9.0,6.0,,,5.19999980926514,,5.40000009536743,,5.0,,5.25,8.60000038146973,,7.19999980926514,,5.59999990463257,,9.60000038146973,,,9.6000004,,,4.0,,7.1999998,,,,,1.4,,4.8000002,,,,9.60000038146973,,10.0,,,,9.0,5.75,,9.0,39.0,1.0,2020.1
7,BE,1,1,2019,12,112,Nationalist,21917.0,VB,11.95,12.2,2019,12.05,0.0,2.25,4.7272725,2.75,3.0,,,,2.5,,2.25,,3.0,,1.77777779102325,2.11111116409302,,9.5833330154419,5.0,4.0,3.5999999,4.8571429,8.0,6.9166665,2.0,2.4444444,5.63636350631714,,5.0,,4.41666650772095,4.25,4.875,9.41666698455811,,8.3636360168457,,6.16666650772095,,9.8333330154419,9.8333330154419,0.41666666,9.583333,9.727273,1.6363636,5.16666650772095,,8.333333,2.2,,,7.6666665,2.090909,,,,,,8.54545497894287,,9.0,0.11111111,8.7777777,8.090909,8.909091,4.181818,9.1999998,,,,2020.1
8,DK,1,1,1999,7,212,Nationalist,13951.0,FP,2.4,2.2,1998,0.699999988079071,0.0,1.42857146263123,6.0714288,0.35714298,,,1.85714280605316,1.28571426868439,,1.71428573131561,,,2.0,1.71428573131561,1.33333337306976,1.28571426868439,,9.2857141494751,8.85714244842529,,,,7.59999990463257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
9,DK,1,1,1999,7,215,Nationalist,13720.0,DF,7.4,7.3000002,1998,5.80000019073486,0.0,1.42857146263123,6.4285712,0.0,,,1.57142853736877,1.14285719394684,,1.66666662693024,,,1.42857146263123,1.57142853736877,1.33333337306976,1.28571426868439,,8.85714244842529,7.2857141494751,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
